timestamp,location,latitude,longitude,traffic_score,traffic_level,average_speed_kmph
2026-08-01 00:00:00,Chennai,13.0827,80.2707,20.06,Low,48.38
2026-08-01 00:00:00,Coimbatore,11.0168,76.9558,8.62,Low,59.56
2026-08-01 00:00:00,Madurai,9.9252,78.1198,13.43,Low,57.64
2026-08-01 00:00:00,Trichy,10.7905,78.7047,0.0,Low,62.1
2026-08-01 00:00:00,Salem,11.6643,78.146,31.75,Moderate,45.47
2026-08-01 00:00:00,Tirunelveli,8.7139,77.7567,38.24,Moderate,40.94
2026-08-01 00:00:00,Vellore,12.9165,79.1325,9.41,Low,50.04
2026-08-01 00:00:00,Erode,11.341,77.7172,11.34,Low,51.47
2026-08-01 01:00:00,Chennai,13.0827,80.2707,50.41,Moderate,40.61
2026-08-01 01:00:00,Coimbatore,11.0168,76.9558,30.59,Moderate,52.69
2026-08-01 01:00:00,Madurai,9.9252,78.1198,3.91,Low,53.75
2026-08-01 01:00:00,Trichy,10.7905,78.7047,31.58,Moderate,44.01
2026-08-01 01:00:00,Salem,11.6643,78.146,18.81,Low,50.7
2026-08-01 01:00:00,Tirunelveli,8.7139,77.7567,16.05,Low,51.98
2026-08-01 01:00:00,Vellore,12.9165,79.1325,19.34,Low,50.21
2026-08-01 01:00:00,Erode,11.341,77.7172,23.62,Low,47.83
2026-08-01 02:00:00,Chennai,13.0827,80.2707,39.36,Moderate,39.53
2026-08-01 02:00:00,Coimbatore,11.0168,76.9558,10.27,Low,52.75
2026-08-01 02:00:00,Madurai,9.9252,78.1198,17.67,Low,50.87
2026-08-01 02:00:00,Trichy,10.7905,78.7047,21.13,Low,51.93
2026-08-01 02:00:00,Salem,11.6643,78.146,5.73,Low,55.9
2026-08-01 02:00:00,Tirunelveli,8.7139,77.7567,14.0,Low,53.04
2026-08-01 02:00:00,Vellore,12.9165,79.1325,15.85,Low,54.83
2026-08-01 02:00:00,Erode,11.341,77.7172,15.45,Low,56.5
2026-08-01 03:00:00,Chennai,13.0827,80.2707,22.53,Low,54.9
2026-08-01 03:00:00,Coimbatore,11.0168,76.9558,5.45,Low,62.26
2026-08-01 03:00:00,Madurai,9.9252,78.1198,22.74,Low,55.07
2026-08-01 03:00:00,Trichy,10.7905,78.7047,29.12,Low,52.74
2026-08-01 03:00:00,Salem,11.6643,78.146,1.53,Low,55.7
2026-08-01 03:00:00,Tirunelveli,8.7139,77.7567,7.2,Low,60.79
2026-08-01 03:00:00,Vellore,12.9165,79.1325,41.93,Moderate,40.72
2026-08-01 03:00:00,Erode,11.341,77.7172,5.33,Low,54.84
2026-08-01 04:00:00,Chennai,13.0827,80.2707,29.65,Low,48.51
2026-08-01 04:00:00,Coimbatore,11.0168,76.9558,13.13,Low,52.73
2026-08-01 04:00:00,Madurai,9.9252,78.1198,20.63,Low,52.98
2026-08-01 04:00:00,Trichy,10.7905,78.7047,5.99,Low,55.07
2026-08-01 04:00:00,Salem,11.6643,78.146,22.66,Low,55.08
2026-08-01 04:00:00,Tirunelveli,8.7139,77.7567,13.33,Low,56.43
2026-08-01 04:00:00,Vellore,12.9165,79.1325,21.17,Low,48.84
2026-08-01 04:00:00,Erode,11.341,77.7172,5.02,Low,57.51
2026-08-01 05:00:00,Chennai,13.0827,80.2707,24.51,Low,51.88
2026-08-01 05:00:00,Coimbatore,11.0168,76.9558,0.0,Low,58.88
2026-08-01 05:00:00,Madurai,9.9252,78.1198,22.86,Low,49.91
2026-08-01 05:00:00,Trichy,10.7905,78.7047,13.45,Low,54.12
2026-08-01 05:00:00,Salem,11.6643,78.146,12.66,Low,54.09
2026-08-01 05:00:00,Tirunelveli,8.7139,77.7567,16.24,Low,53.22
2026-08-01 05:00:00,Vellore,12.9165,79.1325,6.04,Low,61.24
2026-08-01 05:00:00,Erode,11.341,77.7172,15.58,Low,54.83
2026-08-01 06:00:00,Chennai,13.0827,80.2707,19.67,Low,46.14
2026-08-01 06:00:00,Coimbatore,11.0168,76.9558,12.43,Low,56.56
2026-08-01 06:00:00,Madurai,9.9252,78.1198,0.0,Low,57.24
2026-08-01 06:00:00,Trichy,10.7905,78.7047,9.55,Low,59.31
2026-08-01 06:00:00,Salem,11.6643,78.146,36.54,Moderate,43.22
2026-08-01 06:00:00,Tirunelveli,8.7139,77.7567,24.52,Low,50.87
2026-08-01 06:00:00,Vellore,12.9165,79.1325,5.71,Low,60.57
2026-08-01 06:00:00,Erode,11.341,77.7172,21.42,Low,51.53
2026-08-01 07:00:00,Chennai,13.0827,80.2707,67.51,High,31.38
